city, 已檢舉,已排程稽查,陳述意見期,已勒令停工,已發函斷電,已排程拆除,已拆除,不再追蹤
基隆市, 0,0,0,0,0,0,0,0
臺北市, 0,0,0,0,0,0,0,0
新北市, 2,0,1,1,1,0,0,2
宜蘭縣, 1,0,3,0,0,0,0,0
新竹市, 0,0,1,0,0,0,0,0
新竹縣, 8,0,4,2,0,1,0,0
桃園市, 9,3,9,2,0,3,7,3
苗栗縣, 4,0,1,1,0,0,0,1
臺中市, 21,8,12,7,0,10,1,4
彰化縣, 35,23,12,11,1,5,0,8
南投縣, 5,0,0,0,0,1,0,5
嘉義市, 0,0,0,0,0,0,0,0
嘉義縣, 0,0,2,4,0,2,0,3
雲林縣, 2,1,0,0,0,1,0,0
臺南市, 17,2,0,2,0,5,0,0
高雄市, 7,1,1,1,0,2,0,0
屏東縣, 3,0,1,0,0,3,0,2
臺東縣, 0,0,0,0,0,0,0,0
花蓮縣, 0,0,0,0,0,0,0,1
金門縣, 0,0,0,0,0,0,0,0
連江縣, 0,0,0,0,0,0,0,0
澎湖縣, 0,0,0,0,0,0,0,0
